软件名
webstorm            前端开发工具
lantern             蓝灯翻墙
editplus            轻量级IDE
微信web开发工具
nero                光盘刻录软件
Robomongo           mongo可视化工具
rufus               iso刻录软件
usb universal          刻录软件
navicat premium     数据库可视化工具，可以远程连接数据库，支持很多数据库
http://bigjpg.com   放大图片清晰
花生壳		    域名可以映射到内网 -- 调试很有用
postman		    restAPI测试工具
restlet谷歌插件	    restAPI测试工具
影梭                vpn工具
Fiddler             抓包工具
